,id_hecho,fecha,año,mes,dia,rol,victima,sexo,edad,fecha_fallecimiento
528,2019-0097,2019-11-25,2019,11,25,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,23,2019-11-25
529,2019-0098,2019-11-25,2019,11,25,PASAJERO_ACOMPAÑANTE,PASAJEROS,FEMENINO,61,2019-11-29
530,2019-0100,2019-12-05,2019,12,5,CONDUCTOR,MOTO,MASCULINO,38,2019-12-18
531,2019-0101,2019-12-17,2019,12,17,CONDUCTOR,MOTO,MASCULINO,25,2019-12-17
532,2019-0102,2019-12-17,2019,12,17,CONDUCTOR,MOTO,MASCULINO,18,2019-12-18
533,2019-0103,2019-12-18,2019,12,18,CONDUCTOR,MOTO,MASCULINO,24,2019-12-18
534,2019-0104,2019-12-21,2019,12,21,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,23,2019-12-22
535,2020-0001,2020-01-04,2020,1,4,PEATON,PEATON,FEMENINO,87,2020-01-04
536,2020-0002,2020-01-05,2020,1,5,CONDUCTOR,MOTO,MASCULINO,36,2020-01-07
537,2020-0003,2020-01-11,2020,1,11,PEATON,PEATON,MASCULINO,44,2020-01-11
538,2020-0004,2020-01-14,2020,1,14,PEATON,PEATON,MASCULINO,82,2020-01-15
539,2020-0005,2020-01-14,2020,1,14,CONDUCTOR,MOTO,MASCULINO,25,2020-02-10
540,2020-0006,2020-01-20,2020,1,20,CONDUCTOR,MOTO,MASCULINO,23,2020-01-20
541,2020-0007,2020-01-27,2020,1,27,PEATON,PEATON,MASCULINO,52,2020-01-27
542,2020-0008,2020-01-30,2020,1,30,CONDUCTOR,MOTO,MASCULINO,49,2020-01-30
543,2020-0009,2020-02-04,2020,2,4,PEATON,PEATON,MASCULINO,48,2020-02-05
544,2020-0010,2020-02-08,2020,2,8,CONDUCTOR,MOTO,MASCULINO,0,2020-02-08
545,2020-0011,2020-02-12,2020,2,12,CONDUCTOR,MOTO,MASCULINO,31,2020-02-12
546,2020-0012,2020-02-18,2020,2,18,PEATON,PEATON,FEMENINO,66,2020-02-18
547,2020-0013,2020-02-20,2020,2,20,PEATON,PEATON,FEMENINO,58,2020-03-03
548,2020-0014,2020-02-27,2020,2,27,CONDUCTOR,MOTO,MASCULINO,0,2020-02-27
549,2020-0015,2020-02-28,2020,2,28,CONDUCTOR,MOTO,MASCULINO,29,2020-02-28
550,2020-0016,2020-02-29,2020,2,29,PEATON,PEATON,MASCULINO,68,2020-03-09
551,2020-0017,2020-03-05,2020,3,5,PEATON,PEATON,MASCULINO,0,2020-03-05
552,2020-0018,2020-03-09,2020,3,9,CONDUCTOR,MOTO,MASCULINO,31,2020-03-09
553,2020-0019,2020-03-10,2020,3,10,PEATON,PEATON,FEMENINO,80,2020-03-10
554,2020-0020,2020-03-13,2020,3,13,PEATON,PEATON,FEMENINO,74,2020-03-17
555,2020-0021,2020-03-14,2020,3,14,PEATON,PEATON,FEMENINO,87,2020-03-14
556,2020-0022,2020-04-07,2020,4,7,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,44,2020-04-07
557,2020-0023,2020-04-09,2020,4,9,CONDUCTOR,AUTO,MASCULINO,44,2020-05-03
558,2020-0024,2020-04-24,2020,4,24,CONDUCTOR,AUTO,MASCULINO,53,2020-04-24
559,2020-0025,2020-05-12,2020,5,12,PEATON,PEATON,MASCULINO,0,2020-05-12
